iter	MultiClass
0	4.659007852
1	4.395599505
2	4.234998617
3	4.101111899
4	3.9984255
5	3.904361108
6	3.832695739
7	3.758000145
8	3.693035002
9	3.613164619
10	3.548283546
11	3.495887569
12	3.448227356
13	3.40904475
14	3.372372357
15	3.334395007
16	3.301161841
17	3.273170078
18	3.241187059
19	3.216400967
20	3.192308045
21	3.165769311
22	3.141808864
23	3.12051831
24	3.099120879
25	3.078315414
26	3.057870113
27	3.041570482
28	3.024395409
29	3.009218479
30	2.994908472
31	2.982902982
32	2.971185511
33	2.960322166
34	2.948168831
35	2.93596339
36	2.927094964
37	2.915939412
38	2.906216885
39	2.897977168
40	2.888956375
41	2.880028426
42	2.871080923
43	2.863334928
44	2.853546441
45	2.842843541
46	2.833843552
47	2.826477001
48	2.819607515
49	2.813013487
50	2.807138218
51	2.799092137
52	2.793057751
53	2.78597482
54	2.780132353
55	2.774080227
56	2.768733085
57	2.763144594
58	2.75849037
59	2.753519792
60	2.748120462
61	2.743384318
62	2.739051507
63	2.734597888
64	2.731165348
65	2.727461151
66	2.721254892
67	2.718185176
68	2.71286066
69	2.708121653
70	2.703097908
71	2.698362975
72	2.693840423
73	2.687618227
74	2.683174719
75	2.679826979
76	2.675529937
77	2.672740103
78	2.667231066
79	2.663406406
80	2.659449345
81	2.655127063
82	2.652405997
83	2.645502325
84	2.64138898
85	2.638189536
86	2.63580396
87	2.632277471
88	2.628170147
89	2.624624533
90	2.621370467
91	2.618845968
92	2.615501039
93	2.613391954
94	2.609571618
95	2.604386917
96	2.601679107
97	2.59766581
98	2.595491337
99	2.592343273
100	2.58714783
101	2.58349161
102	2.580444015
103	2.578040097
104	2.575903775
105	2.573064684
106	2.57011663
107	2.56735529
108	2.565058757
109	2.560287228
110	2.557387335
111	2.553873459
112	2.550716365
113	2.547993312
114	2.545466173
115	2.541892346
116	2.538031785
117	2.535586745
118	2.532617867
119	2.529306158
120	2.526558671
121	2.521289815
122	2.518808088
123	2.516447111
124	2.514794746
125	2.512947695
126	2.511512431
127	2.509106115
128	2.506882061
129	2.504991623
130	2.502020425
131	2.497794966
132	2.49584522
133	2.49380389
134	2.491732899
135	2.489150996
136	2.487160756
137	2.485814415
138	2.483318926
139	2.480340766
140	2.47795153
141	2.477339132
142	2.475014356
143	2.473103885
144	2.470737313
145	2.46808312
146	2.466335758
147	2.465622956
148	2.464106483
149	2.461822971
150	2.460812569
151	2.459871339
152	2.458819915
153	2.456346424
154	2.454799922
155	2.453087592
156	2.45158395
157	2.447841096
158	2.447141078
159	2.445079145
160	2.442826748
161	2.441809115
162	2.439728977
163	2.43746292
164	2.435269748
165	2.434484574
166	2.432653725
167	2.430152068
168	2.429556647
169	2.428000732
170	2.425454167
171	2.423814057
172	2.421813108
173	2.41932107
174	2.41834484
175	2.416695872
176	2.41463629
177	2.413943306
178	2.413153365
179	2.412034494
180	2.410761718
181	2.410330682
182	2.408465764
183	2.406941012
184	2.406169317
185	2.403860389
186	2.402237917
187	2.398786415
188	2.396409443
189	2.395015032
190	2.393600728
191	2.392098807
192	2.389734293
193	2.388442138
194	2.386702767
195	2.385224786
196	2.384219037
197	2.383655051
198	2.381882212
199	2.38100216
200	2.38052088
201	2.378880699
202	2.377074297
203	2.375083746
204	2.373937931
205	2.371925358
206	2.369408316
207	2.366847061
208	2.364215922
209	2.363172711
210	2.361638332
211	2.360239778
212	2.358414821
213	2.357144622
214	2.355444564
215	2.354379287
216	2.352321891
217	2.350417437
218	2.34900588
219	2.347862719
220	2.346571888
221	2.346085285
222	2.34571854
223	2.344605135
224	2.344012328
225	2.342964745
226	2.342586455
227	2.341085258
228	2.338955491
229	2.337977598
230	2.337538097
231	2.335985513
232	2.335070264
233	2.333896486
234	2.332983252
235	2.332653795
236	2.330806329
237	2.328883233
238	2.327615011
239	2.327326731
240	2.326108409
241	2.325754441
242	2.324865713
243	2.324170358
244	2.322781989
245	2.322545736
246	2.320488797
247	2.319648063
248	2.319383311
249	2.317574468
250	2.315254199
251	2.314296453
252	2.312577305
253	2.310986421
254	2.308941622
255	2.307702158
256	2.305882996
257	2.304773231
258	2.303454411
259	2.302474152
260	2.302022322
261	2.301785187
262	2.299682203
263	2.298532907
264	2.297301235
265	2.295706321
266	2.293890953
267	2.292674662
268	2.290975727
269	2.289644304
270	2.289265569
271	2.288327567
272	2.287877516
273	2.287112525
274	2.286643481
275	2.285925644
276	2.284888657
277	2.284543317
278	2.28223114
279	2.28183631
280	2.28045116
281	2.279586454
282	2.278125043
283	2.277841706
284	2.276547243
285	2.276215704
286	2.274548906
287	2.273578405
288	2.271412951
289	2.270799385
290	2.269060193
291	2.268120746
292	2.266974093
293	2.265259032
294	2.263595155
295	2.262510856
296	2.26053655
297	2.260288051
298	2.259030655
299	2.257135891
300	2.255986548
301	2.254352435
302	2.253064329
303	2.251848027
304	2.250767001
305	2.249603833
306	2.247971499
307	2.246593563
308	2.245140803
309	2.244217461
310	2.243702747
311	2.243372867
312	2.242971352
313	2.24194904
314	2.241664035
315	2.2397132
316	2.23921048
317	2.238454101
318	2.236483741
319	2.235233501
320	2.234818766
321	2.233708396
322	2.232395904
323	2.231149129
324	2.230267847
325	2.228880913
326	2.22849608
327	2.227546626
328	2.22723887
329	2.225940193
330	2.224489817
331	2.224078008
332	2.22202484
333	2.220606123
334	2.219398527
335	2.217347371
336	2.215096301
337	2.213567866
338	2.212596033
339	2.210834018
340	2.210480328
341	2.20962441
342	2.208402166
343	2.207405113
344	2.206537277
345	2.205837223
346	2.204639316
347	2.203195108
348	2.201045066
349	2.200784713
350	2.200181742
351	2.198670312
352	2.196216485
353	2.194955224
354	2.194161724
355	2.193810012
356	2.193327079
357	2.192599179
358	2.190828291
359	2.189240853
360	2.1880863
361	2.186729741
362	2.186352339
363	2.18473506
364	2.184035177
365	2.183089466
366	2.181552873
367	2.180355389
368	2.18016821
369	2.178493242
370	2.177791811
371	2.177554666
372	2.176459438
373	2.175567442
374	2.17457416
375	2.173219645
376	2.17223578
377	2.170698624
378	2.169977553
379	2.168751593
380	2.167858032
381	2.166385742
382	2.164293065
383	2.163050202
384	2.162098904
385	2.161122766
386	2.160796985
387	2.16044166
388	2.159761913
389	2.157819523
390	2.156889897
391	2.155572741
392	2.154082792
393	2.152812116
394	2.151908652
395	2.151678571
396	2.15058064
397	2.149413807
398	2.147869509
399	2.147538675
400	2.146540346
401	2.145119249
402	2.144734974
403	2.143731617
404	2.142508277
405	2.14112827
406	2.14028012
407	2.139912744
408	2.139643763
409	2.138099603
410	2.136851393
411	2.135673517
412	2.133924755
413	2.132744855
414	2.131125182
415	2.130873652
416	2.13011784
417	2.129344608
418	2.128365492
419	2.128137212
420	2.126560982
421	2.125063428
422	2.123970387
423	2.122159133
