iter	Passed	Remaining
0	2603	2600763
1	5599	2794187
2	16079	5343589
3	24671	6143127
4	29386	5847989
5	33041	5473800
6	37822	5365449
7	41002	5084288
8	44113	4857336
9	46322	4585965
10	49118	4416198
11	51316	4225096
12	52799	4008694
13	53885	3795045
14	54858	3602359
15	55770	3429870
16	56778	3283133
17	58102	3169838
18	59311	3062336
19	60755	2977041
20	62106	2895361
21	63339	2815714
22	64690	2747921
23	66064	2686611
24	67267	2623415
25	68588	2569416
26	69845	2517028
27	73459	2550109
28	74704	2501296
29	76266	2465935
30	78716	2460538
31	83475	2525130
32	86216	2526398
33	88067	2502150
34	90314	2490094
35	91857	2459738
36	93238	2426724
37	94633	2395724
38	95672	2357469
39	96748	2321961
40	97694	2285098
41	98553	2247965
42	99433	2212963
43	100475	2183056
44	101615	2156515
45	102682	2129539
46	103604	2100737
47	104526	2073099
48	105440	2046408
49	106427	2022129
50	107275	1996166
51	108248	1973455
52	109378	1954358
53	110582	1937240
54	111908	1922785
55	112969	1904340
56	113979	1885655
57	115071	1868917
58	116094	1851605
59	117166	1835608
60	118142	1818617
61	119147	1802586
62	120353	1790018
63	121595	1778334
64	122721	1765300
65	124342	1759632
66	125476	1747304
67	126345	1731675
68	127312	1717802
69	128312	1704724
70	129769	1697970
71	131684	1697260
72	133128	1690553
73	134206	1679398
74	135583	1672196
75	136627	1661104
76	137798	1651787
77	138888	1641729
78	140133	1633711
79	141223	1624067
80	142346	1615012
81	143499	1606494
82	144546	1596976
83	145650	1588283
84	146801	1580279
85	147891	1571774
86	148896	1562553
87	149955	1554083
88	151038	1546024
89	152267	1539592
90	153339	1531704
91	154527	1525120
92	155624	1517756
93	156649	1509838
94	157829	1503533
95	158917	1496470
96	159959	1489112
97	160846	1480440
98	161692	1471561
99	162662	1463965
100	163803	1458012
101	164923	1451974
102	166235	1447700
103	167375	1442002
104	168496	1436228
105	169498	1429541
106	170478	1422777
107	171361	1415317
108	172418	1409399
109	173767	1405936
110	175353	1404408
111	177084	1404027
112	179845	1411705
113	182134	1415533
114	187454	1442587
115	189421	1443525
116	191016	1441605
117	193197	1444067
118	194859	1442617
119	196465	1440743
120	197849	1437267
121	199237	1433858
122	200831	1431945
123	202176	1428280
124	203147	1422032
125	204214	1416534
126	206287	1418025
127	207534	1413832
128	208525	1407954
129	209507	1402090
130	210706	1397742
131	211696	1392062
132	212792	1387153
133	213731	1381278
134	214667	1375464
135	215566	1369482
136	216482	1363681
137	217354	1357679
138	218404	1352852
139	219374	1347583
140	221981	1352355
141	223043	1347685
142	224029	1342607
143	225068	1337907
144	226151	1333512
145	227338	1329772
146	228404	1325366
147	229550	1321465
148	231357	1321376
149	233496	1323145
150	234806	1320201
151	235906	1316108
152	237081	1312469
153	238331	1309273
154	239477	1305540
155	240700	1302249
156	241791	1298280
157	242946	1294691
158	244183	1291561
159	246391	1293555
160	248065	1292715
161	249525	1290754
162	250665	1287161
163	252052	1284852
164	253397	1282345
165	254540	1278837
166	255632	1275099
167	256856	1272048
168	257820	1267742
169	258866	1263875
170	259887	1259923
171	261102	1256935
172	262993	1257199
173	264113	1253779
174	265013	1249348
175	265983	1245286
176	266979	1241380
177	268116	1238155
178	269177	1234609
179	270454	1232070
180	271479	1228408
181	272419	1224392
182	273383	1220514
183	274289	1216412
184	275155	1212172
185	276258	1209003
186	278019	1208714
187	279118	1205554
188	280017	1201557
189	280880	1197437
190	281724	1193271
191	282562	1189117
192	283494	1185387
193	284388	1181530
194	285236	1177513
195	286285	1174353
196	287246	1170855
197	289003	1170609
198	290096	1167674
199	290970	1163883
200	291803	1159956
201	292671	1156198
202	293504	1152332
203	294348	1148534
204	295211	1144845
205	296069	1141160
206	297159	1138392
207	298131	1135192
208	301011	1139236
209	302120	1136547
210	303072	1133291
211	303935	1129722
212	304924	1126647
