,Title,Artist,Top Genre,Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Genre
2000,Daddy Issues,The Neighbourhood,alt-rock,0.521,0.588,-9.461,0.123,0.337,260173,0.0678,0.0329,87,Rock
2001,Little Dark Age,MGMT,alt-rock,0.712,0.705,-6.156,0.1,0.62,299960,0.0102,0.0385,83,Rock
2002,Softcore,The Neighbourhood,alt-rock,0.568,0.575,-5.509,0.286,0.37,206280,0.0484,0.03,86,Rock
2003,Sweater Weather,The Neighbourhood,alt-rock,0.807,0.612,-2.81,0.101,0.398,240400,0.0495,0.0336,93,Rock
2004,You Get Me So High,The Neighbourhood,alt-rock,0.881,0.551,-6.099,0.152,0.387,153000,0.186,0.0542,83,Rock
2005,Play with Fire (feat. Yacht Money),Sam Tinnesz;Yacht Money,alt-rock,0.539,0.573,-6.091,0.105,0.39,180690,0.0162,0.0322,76,Rock
2006,Something In The Way,Nirvana,alt-rock,0.201,0.427,-13.044,0.109,0.0668,232146,0.745,0.0317,76,Rock
2007,Way down We Go,KALEO,alt-rock,0.505,0.489,-8.022,0.104,0.337,213706,0.579,0.117,78,Rock
2008,Unstoppable,The Score,alt-rock,0.843,0.485,-3.993,0.14,0.602,192106,0.00129,0.0467,73,Rock
2009,Smells Like Teen Spirit,Nirvana,alt-rock,0.912,0.502,-4.556,0.106,0.72,301920,2.55e-05,0.0564,83,Rock
2010,Blood // Water,grandson,alt-rock,0.882,0.51,-5.659,0.0764,0.653,216720,0.00158,0.159,75,Rock
2011,Shut Up and Dance,WALK THE MOON,alt-rock,0.866,0.578,-3.804,0.257,0.619,199080,0.00701,0.0619,83,Rock
2012,Born For This,The Score,alt-rock,0.675,0.411,-6.251,0.092,0.545,237375,0.063,0.0591,69,Rock
2013,Tippa My Tongue,Red Hot Chili Peppers,alt-rock,0.913,0.573,-6.52,0.114,0.795,260808,0.00861,0.0409,4,Rock
2015,Mr. Brightside,The Killers,alt-rock,0.931,0.344,-3.759,0.0903,0.251,223973,0.00104,0.0783,2,Rock
2016,Californication,Red Hot Chili Peppers,alt-rock,0.765,0.592,-2.788,0.127,0.327,329733,0.0021,0.027,2,Rock
2017,Nerve Flip,Red Hot Chili Peppers,alt-rock,0.936,0.386,-4.005,0.266,0.418,186148,0.0121,0.0701,0,Rock
2018,Runaway Horses - Abridged,The Killers;Phoebe Bridgers,alt-rock,0.223,0.499,-15.253,0.0962,0.304,204466,0.912,0.0338,0,Rock
2019,Black Summer,Red Hot Chili Peppers,alt-rock,0.682,0.417,-5.071,0.109,0.351,232412,0.0267,0.0295,1,Rock
2020,When You Were Young,The Killers,alt-rock,0.976,0.441,-3.09,0.298,0.248,220413,0.000335,0.147,5,Rock
2023,Animals,Nickelback,alt-rock,0.963,0.569,-3.069,0.22,0.82,185906,0.000787,0.0593,3,Rock
2027,Records,Weezer,alt-rock,0.773,0.658,-5.119,0.194,0.66,208920,0.000901,0.0244,0,Rock
2028,Human - Armin van Buuren Dub Remix,The Killers;Armin van Buuren;Benno De Goeij,alt-rock,0.821,0.64,-5.789,0.203,0.624,445000,0.00122,0.0732,1,Rock
2030,Somebody Told Me,The Killers,alt-rock,0.981,0.508,-3.23,0.0555,0.746,200946,8.22e-05,0.0779,0,Rock
2031,Fire - Remastered,Red Hot Chili Peppers,alt-rock,0.986,0.421,-1.795,0.295,0.263,123800,0.00482,0.152,1,Rock
2032,Ohms,Deftones,alt-rock,0.978,0.112,-2.64,0.117,0.371,250222,0.000108,0.117,0,Rock
2034,Higher Ground - Remastered,Red Hot Chili Peppers,alt-rock,0.979,0.476,-3.504,0.0944,0.394,202053,0.00142,0.133,1,Rock
