Unnamed: 0,Title,Artist,Top Genre,Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Genre
2002,Softcore,The Neighbourhood,alt-rock,0.568,0.575,-5.509,0.286,0.37,206280,0.0484,0.03,86,Rock
2003,Sweater Weather,The Neighbourhood,alt-rock,0.807,0.612,-2.81,0.101,0.398,240400,0.0495,0.0336,93,Rock
2004,You Get Me So High,The Neighbourhood,alt-rock,0.881,0.551,-6.099,0.152,0.387,153000,0.186,0.0542,83,Rock
2005,Play with Fire (feat. Yacht Money),Sam Tinnesz;Yacht Money,alt-rock,0.539,0.573,-6.091,0.105,0.39,180690,0.0162,0.0322,76,Rock
2006,Something In The Way,Nirvana,alt-rock,0.201,0.427,-13.044,0.109,0.0668,232146,0.745,0.0317,76,Rock
2010,Blood // Water,grandson,alt-rock,0.882,0.51,-5.659,0.0764,0.653,216720,0.00158,0.159,75,Rock
2011,Shut Up and Dance,WALK THE MOON,alt-rock,0.866,0.578,-3.804,0.257,0.619,199080,0.00701,0.0619,83,Rock
2012,Born For This,The Score,alt-rock,0.675,0.411,-6.251,0.092,0.545,237375,0.063,0.0591,69,Rock
2015,Mr. Brightside,The Killers,alt-rock,0.931,0.344,-3.759,0.0903,0.251,223973,0.00104,0.0783,2,Rock
2016,Californication,Red Hot Chili Peppers,alt-rock,0.765,0.592,-2.788,0.127,0.327,329733,0.0021,0.027,2,Rock
2018,Runaway Horses - Abridged,The Killers;Phoebe Bridgers,alt-rock,0.223,0.499,-15.253,0.0962,0.304,204466,0.912,0.0338,0,Rock
2019,Black Summer,Red Hot Chili Peppers,alt-rock,0.682,0.417,-5.071,0.109,0.351,232412,0.0267,0.0295,1,Rock
2020,When You Were Young,The Killers,alt-rock,0.976,0.441,-3.09,0.298,0.248,220413,0.000335,0.147,5,Rock
2027,Records,Weezer,alt-rock,0.773,0.658,-5.119,0.194,0.66,208920,0.000901,0.0244,0,Rock
2030,Somebody Told Me,The Killers,alt-rock,0.981,0.508,-3.23,0.0555,0.746,200946,8.22e-05,0.0779,0,Rock
2034,Higher Ground - Remastered,Red Hot Chili Peppers,alt-rock,0.979,0.476,-3.504,0.0944,0.394,202053,0.00142,0.133,1,Rock
2036,A Great Big Sled,The Killers;Toni Halliday,alt-rock,0.872,0.532,-3.869,0.283,0.299,262586,0.00223,0.0636,0,Rock
2037,Don't Shoot Me Santa,The Killers;Ryan Pardey,alt-rock,0.847,0.588,-4.164,0.307,0.662,245106,0.0601,0.0705,0,Rock
2040,All My Favorite Songs,Weezer;AJR,alt-rock,0.7,0.605,-6.47,0.116,0.588,170720,0.00998,0.0277,0,Rock
2043,Joy Ride - Night Version,The Killers,alt-rock,0.935,0.666,-4.563,0.352,0.69,436413,0.00285,0.0445,0,Rock
2047,Christmas (Baby Please Come Home),The Offspring,alt-rock,0.878,0.437,-4.687,0.126,0.623,187355,0.0112,0.0452,0,Rock
2048,By the Way,Red Hot Chili Peppers,alt-rock,0.986,0.441,-2.466,0.0998,0.184,215666,0.038,0.116,2,Rock
2050,Daddy Issues (Remix) feat. Syd,The Neighbourhood;Syd,alt-rock,0.533,0.623,-8.164,0.112,0.247,181186,0.245,0.0653,75,Rock
2051,Reflections,The Neighbourhood,alt-rock,0.594,0.648,-7.027,0.116,0.544,244013,0.114,0.0293,80,Rock
2054,The Reason,Hoobastank,alt-rock,0.671,0.472,-4.649,0.159,0.0681,232800,0.0129,0.029,81,Rock
2057,Seven Nation Army,The White Stripes,alt-rock,0.446,0.743,-7.807,0.337,0.278,232106,0.0039,0.0683,84,Rock
2058,Courtesy Call,Thousand Foot Krutch,alt-rock,0.638,0.531,-5.145,0.0822,0.445,236898,0.00409,0.0809,72,Rock
2059,"Elliot’s Song - From ""Euphoria"" An HBO Original Series",Dominic Fike;Zendaya,alt-rock,0.266,0.341,-17.251,0.113,0.388,152144,0.831,0.146,1,Rock
2062,Surviving the Game,Skillet,alt-rock,0.979,0.535,-3.593,0.084,0.432,238870,0.000666,0.0597,4,Rock
2064,Say It Ain't So,Weezer,alt-rock,0.551,0.635,-7.136,0.07,0.451,258825,0.00743,0.0354,1,Rock
2071,Island In The Sun,Weezer,alt-rock,0.794,0.654,-6.288,0.165,0.678,200053,0.00769,0.0284,1,Rock
2072,O Come All Ye Faithful,Weezer,alt-rock,0.818,0.516,-6.076,0.337,0.769,124653,0.00701,0.0393,0,Rock
2077,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,alt-rock,0.751,0.395,-8.547,0.0725,0.455,257812,5.71e-05,0.0618,2,Rock
2079,O Holy Night,Weezer,alt-rock,0.609,0.173,-7.724,0.1,0.0988,244306,0.359,0.0482,0,Rock
2080,My Name Is Jonas,Weezer,alt-rock,0.947,0.261,-3.031,0.31,0.552,206120,0.000193,0.0487,1,Rock
2084,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,alt-rock,0.894,0.381,-8.638,0.0251,0.797,246933,0.0258,0.037,0,Rock
2088,Rotting in Vain,Korn,alt-rock,0.946,0.498,-4.792,0.359,0.31,213000,0.000121,0.0602,0,Rock
2091,We Wish You A Merry Christmas,Weezer,alt-rock,0.786,0.387,-4.127,0.123,0.462,84973,0.0195,0.0436,0,Rock
2100,The Beach,The Neighbourhood,alt-rock,0.64,0.245,-7.426,0.0766,0.105,255133,0.131,0.0608,78,Rock
2102,Out of My League,Fitz and The Tantrums,alt-rock,0.968,0.545,-3.553,0.331,0.527,209386,0.0387,0.0853,68,Rock
2104,I'm In Love With You,The 1975,alt-rock,0.902,0.668,-3.924,0.198,0.913,262623,0.169,0.0386,78,Rock
2108,Come As You Are,Nirvana,alt-rock,0.824,0.5,-5.846,0.0916,0.539,218920,0.00016,0.0388,79,Rock
2109,Snow (Hey Oh),Red Hot Chili Peppers,alt-rock,0.9,0.427,-3.674,0.119,0.599,334666,0.116,0.0499,80,Rock
2113,It's Not My Time - Acoustic,3 Doors Down,alt-rock,0.58,0.674,-8.081,0.198,0.305,238373,0.311,0.0312,0,Rock
