Top Genre,count
black-metal,991
heavy-metal,985
bluegrass,978
cantopop,955
new-age,953
disney,952
club,946
kids,939
salsa,926
detroit-techno,920
deep-house,915
children,888
death-metal,878
garage,868
minimal-techno,845
mandopop,843
dancehall,833
power-pop,833
honky-tonk,826
opera,809
sertanejo,803
alt-rock,798
rock-n-roll,773
classical,759
mpb,754
j-dance,736
synth-pop,708
blues,688
progressive-house,677
trance,677
metalcore,675
hip-hop,659
hard-rock,626
punk-rock,608
country,570
psych-rock,550
rockabilly,543
edm,511
indie-pop,465
latin,436
techno,401
electro,389
latino,332
pop,325
dubstep,253
jazz,217
metal,213
album rock,211
rock,167
house,134
dutch pop,79
reggaeton,63
dance pop,37
glam rock,36
alternative rock,28
classic rock,27
irish rock,25
alternative metal,19
art rock,16
classic uk pop,16
dutch hip hop,11
britpop,8
blues rock,8
neo mellow,5
classic soul,5
art pop,5
baroque pop,4
big beat,4
east coast hip hop,4
detroit hip hop,3
classic schlager,3
gabba,2
dutch metal,2
new wave pop,2
chamber pop,2
bubblegum pop,2
eurodance,2
danish pop rock,1
diva house,1
glam metal,1
cyberpunk,1
canadian rock,1
basshall,1
hard rock,1
british alternative rock,1
acid jazz,1
australian americana,1
latin alternative,1
chicago soul,1
operatic pop,1
classic soundtrack,1
contemporary vocal jazz,1
downtempo,1
g funk,1
finnish metal,1
atl hip hop,1
alternative pop,1
soft rock,1
classic italian pop,1
