season,week,date,away,home,score_away,score_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2002,1,2002-09-05,49ers,Giants,16,13,13,21,4,12,9,16,0,0,0,1,51,70,13,15,279,361,16,26,166,28,45,318,0,0,3,24,25,113,22,43,5,29,10,80,0,8,0,6,0,0,1,3,0,0,27:32,32:28
2002,1,2002-09-08,Jets,Bills,37,31,18,26,2,8,7,17,0,0,2,2,47,75,17,18,266,384,24,30,193,26,39,242,3,17,4,29,14,73,32,142,10,90,10,82,0,9,0,8,1,1,0,2,2,0,21:06,39:08
2002,1,2002-09-08,Vikings,Bears,23,27,19,20,5,13,7,13,0,0,0,0,62,60,17,17,368,368,16,28,228,20,33,288,1,6,1,9,33,140,26,80,8,52,4,33,0,7,0,6,1,1,2,1,0,0,31:31,28:29
2002,1,2002-09-08,Chargers,Bengals,34,6,27,13,6,10,4,11,0,0,0,0,65,48,11,15,401,203,15,19,160,18,31,167,1,0,4,31,45,241,13,36,4,39,9,57,0,7,0,5,0,0,0,1,0,0,37:48,22:12
2002,1,2002-09-08,Chiefs,Browns,40,39,24,24,5,11,4,11,0,0,0,0,59,61,20,17,470,411,20,29,276,28,40,352,0,0,1,7,30,194,20,59,9,87,4,38,0,10,0,10,0,1,1,0,0,0,30:16,29:44
2002,1,2002-09-08,Falcons,Packers,34,37,22,29,4,8,8,15,0,0,1,1,57,71,15,17,374,454,15,23,194,25,36,273,4,15,2,11,30,180,33,181,4,82,3,15,0,8,0,9,1,1,0,0,0,0,30:55,38:50
2002,1,2002-09-08,Eagles,Titans,24,27,17,22,7,15,6,10,1,1,0,0,64,60,17,16,261,328,18,36,181,24,34,267,6,31,1,2,22,80,25,61,10,113,6,50,0,3,0,7,1,3,2,1,0,0,29:12,30:48
2002,1,2002-09-08,Lions,Dolphins,21,49,15,27,7,14,6,12,0,1,1,1,58,68,18,16,257,389,17,36,206,18,27,207,3,14,0,0,19,51,41,182,6,68,4,54,0,6,0,8,1,0,1,0,0,2,25:36,34:24
2002,1,2002-09-08,Cardinals,Commanders,23,31,14,21,4,13,9,16,0,0,1,2,57,73,18,18,257,442,14,36,187,28,40,320,1,0,1,7,20,70,32,122,1,5,7,56,0,5,0,8,0,0,1,1,0,0,25:36,34:24
2002,1,2002-09-08,Ravens,Panthers,7,10,15,15,5,14,5,14,0,0,0,0,55,57,13,12,289,265,20,34,212,12,19,120,2,6,2,16,19,77,36,145,6,45,6,35,0,3,0,2,0,0,1,0,0,0,26:09,33:51
2002,1,2002-09-08,Colts,Jaguars,28,25,18,19,9,14,8,16,0,0,3,3,60,69,17,16,307,343,19,31,203,22,36,225,1,8,1,3,28,104,32,118,2,14,5,40,0,6,0,8,2,1,0,1,2,0,27:27,32:33
2002,1,2002-09-08,Rams,Broncos,16,23,15,18,3,12,2,10,0,1,1,1,57,57,5,2,327,291,32,41,295,18,27,187,3,20,4,15,13,32,26,104,6,44,3,31,0,2,0,1,1,0,1,2,0,0,31:46,28:14
2002,1,2002-09-08,Seahawks,Raiders,17,31,14,27,1,11,7,12,2,2,1,1,51,70,4,4,186,423,23,32,143,19,28,202,3,12,2,12,16,43,40,221,13,105,5,45,0,2,0,2,0,1,0,1,0,0,25:09,34:51
2002,1,2002-09-08,Saints,Buccaneers,26,20,21,19,10,20,7,19,0,0,0,1,78,77,4,4,368,333,24,42,250,28,53,261,2,10,3,17,34,118,21,72,5,45,8,85,0,1,0,2,0,0,1,1,2,0,40:41,31:29
2002,1,2002-09-08,Cowboys,Texans,10,19,11,13,2,13,2,15,0,0,0,0,57,63,18,19,267,210,13,30,112,10,22,123,3,19,6,22,24,155,35,87,9,117,11,80,0,2,0,4,1,0,1,1,0,0,26:05,33:55
2002,1,2002-09-09,Steelers,Patriots,14,30,20,20,4,14,5,13,2,2,0,0,67,63,19,14,283,343,25,38,209,29,43,280,5,38,2,14,24,74,18,63,13,112,7,88,0,8,0,4,2,1,3,0,0,0,30:31,29:29
2002,2,2002-09-15,Bears,Falcons,14,13,13,19,4,13,5,13,0,0,0,0,56,62,14,15,242,257,12,24,136,17,28,135,1,7,4,31,31,106,30,122,7,79,5,40,0,5,0,5,1,3,1,0,0,0,28:35,31:25
2002,2,2002-09-15,Bengals,Browns,7,20,28,15,9,17,4,12,0,2,0,1,83,58,15,11,357,265,26,47,201,17,30,190,5,38,1,8,31,156,27,75,3,30,12,87,0,3,0,2,0,0,3,0,0,0,31:18,28:42
2002,2,2002-09-15,Titans,Cowboys,13,21,19,14,7,17,4,12,1,2,0,0,72,51,15,15,333,297,23,43,235,14,24,230,3,24,1,10,26,98,26,67,6,55,2,15,0,4,0,2,0,0,1,0,0,2,35:45,24:15
2002,2,2002-09-15,Dolphins,Colts,21,13,17,29,5,10,4,11,0,0,1,2,53,76,13,13,342,432,13,18,179,26,45,289,1,8,0,0,34,163,31,143,11,68,5,35,0,5,0,5,0,0,1,3,0,0,28:47,31:13
2002,2,2002-09-15,Jaguars,Chiefs,23,16,19,18,7,15,6,13,1,1,0,0,65,61,15,13,450,336,25,36,320,16,32,196,0,0,1,3,29,130,28,140,5,45,5,48,0,5,0,6,1,0,0,2,0,0,31:44,28:16
