week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
1,1,Buffalo,LA Rams,10,31,5.9,9.6,243,413,1,-1,413,243,145.2,156.4
1,2,New Orleans,Atlanta,26,27,6.5,7.9,416,385,-1,1,385,416,178.2,181.6
1,3,Cleveland,Carolina,24,26,8.7,4.3,261,355,-1,1,355,261,145.2,137.2
1,4,San Francisco,Chicago,19,10,7.1,5.9,204,331,1,-1,331,204,125.2,120.6
1,5,Pittsburgh,Cincinnati,20,23,6.4,5.1,432,267,-5,5,267,432,155.6,155.6
1,6,Indianapolis,Houston,20,20,6.5,7,299,517,1,-1,517,299,180.4,181
1,7,Philadelphia,Detroit,35,38,5.8,7.6,386,455,-1,1,455,386,186.6,191.2
1,8,Jacksonville,Washington,28,22,7.6,6.5,390,383,-2,2,383,390,175,172.4
1,9,New England,Miami,20,7,8.2,7.1,307,271,3,-3,271,307,136.6,130.6
1,10,Baltimore,NY Jets,9,24,5.2,7.1,378,274,-1,1,274,378,142.4,149.6
1,11,Kansas City,Arizona,21,44,5.4,9.2,282,488,1,-1,488,282,169.2,181
1,12,Green Bay,Minnesota,23,7,8.7,6.7,395,338,2,-2,338,395,169,161
1,13,NY Giants,Tennessee,20,21,8.1,9,359,394,1,-1,394,359,171,172.6
1,14,Las Vegas,LA Chargers,24,19,8.2,8,355,320,3,-3,320,355,156.8,154.2
1,15,Tampa Bay,Dallas,3,19,4.7,7.9,244,347,0,0,347,244,128.2,137.8
1,16,Denver,Seattle,17,16,7,8.1,253,433,1,-1,433,253,154.8,156.4
2,17,LA Chargers,Kansas City,35.5,24,8,7.5,403.5,378,0,1,341.5,319.5,172.1,159.5
2,18,Carolina,NY Giants,20,20,6.6,6.8,329.5,268,0.5,-1.5,317,310,146.6,132.9
2,19,NY Jets,Cleveland,28,20,6.2,6.1,380,391,0.5,-0.5,331.5,339.5,160.4,162.2
2,20,Indianapolis,Jacksonville,23,10,7.1,6.8,357,367.5,2.5,-2,304,315,151.5,151.7
2,21,Washington,Detroit,35.5,27.5,6.6,7.5,405.5,393,0,-1.5,425.5,404,186.5,179.6
2,22,Miami,Baltimore,31,31,9,8.9,373.5,427,1.5,0.5,463.5,372,191.9,183.9
2,23,Tampa Bay,New Orleans,18.5,19.5,6.8,6.6,346.5,303.5,-1.5,2,338,276,153.9,133.4
2,24,New England,Pittsburgh,18.5,12,5.1,7.2,255,323.5,2,-1,404,275,146.1,136.3
2,25,Atlanta,LA Rams,20.5,26.5,6.6,7,290,338.5,0.5,-0.5,337,361,142.8,159.1
2,26,Seattle,San Francisco,18.5,12,6.7,6.6,352,234.5,1,-1,210,403,129.7,142.9
2,27,Cincinnati,Dallas,11.5,18.5,5.9,6,290.5,343,-0.5,-2,300.5,302,132.2,144.3
2,28,Arizona,Las Vegas,21,25,7.2,5.5,322,347.5,-1.5,0.5,384,406,159.5,166.8
2,29,Houston,Denver,16,14.5,7.7,5.6,391.5,266.5,-1,1,243.5,433.5,145.4,154.3
2,30,Chicago,Green Bay,17,14.5,7.7,6.8,376,216,-1,0.5,311.5,372.5,156.1,134.3
2,31,Tennessee,Buffalo,36,13.5,8.6,6.8,413.5,273,1.5,-1.5,215,404,150.4,151.4
2,32,Minnesota,Philadelphia,31,15,9.1,6.4,470.5,329.5,1.5,0,325,412,183.8,164.1
3,33,Pittsburgh,Cleveland,28.3,18,6.5,5.5,378.7,272.7,0.7,1,323.7,394.7,159.28,148.28
3,34,Buffalo,Miami,27.7,30.3,9,7.6,355.3,441.3,0.7,0.7,413.7,214,177.48,152.46
3,35,New Orleans,Carolina,20.7,17,6.8,7.5,276.3,373,0,-2,348.7,323,142.74,157.2
3,36,Houston,Chicago,17.3,16.3,6.6,6.2,265,287.3,0.3,0.7,358,410,141.32,155.26
3,37,Cincinnati,NY Jets,17.3,21.3,5.9,6.5,370,338.7,-1.3,-0.3,336.3,310.7,156.26,147.08
3,38,Kansas City,Indianapolis,13.3,29.3,6.6,7.8,331.3,374,-1,-0.3,315,314,144.92,159
3,39,Detroit,Minnesota,19.3,31.7,6.4,6.7,344,409,0,0,413.3,408,168.12,183.14
3,40,Baltimore,New England,16.7,33,8.1,8.5,364.7,380.3,-1.3,1.7,314.7,458,155.16,191.6
3,41,Las Vegas,Tennessee,17,21.3,7.8,7.1,302.3,346.7,-1,-1,401.3,376.3,159.52,162.86
3,42,Philadelphia,Washington,21,28.7,6.6,9.3,342,447,-1.3,1.3,402.7,296.7,166.08,173.34
3,43,Jacksonville,LA Chargers,19.3,28,7.2,7,356,375.7,0,2.3,350.7,306.7,159.6,156.54
3,44,Atlanta,Seattle,15.7,26.7,7,8.1,296.3,354.3,-0.3,-0.7,397.3,380.7,155.8,168.4
3,45,LA Rams,Arizona,20.7,20.3,5.5,7.5,353.3,306.3,0.7,0,383.7,346.3,162.68,149.58
3,46,Green Bay,Tampa Bay,17,16,6.5,7.6,297.3,355.7,1.3,-0.7,289,302.7,133.92,149.94
3,47,San Francisco,Denver,14.3,15.7,7,6.9,348,323.7,0.3,-0.3,251.3,227,136.78,127.02
3,48,Dallas,NY Giants,18.7,15.3,6.1,6.2,331.7,324,0,0,341.7,312.3,150.62,142.72
4,49,Miami,Cincinnati,22.8,24.5,7.1,8.8,346.8,361,0.3,0,327.5,403,153.68,175.3
4,50,Minnesota,New Orleans,19,21.5,7.7,6.6,364.3,344,-1.8,0.3,328.3,394.5,157.36,165.26
4,51,Cleveland,Atlanta,25.8,26.3,7.9,6.5,349,384.8,-0.3,0.3,386.3,326,167.96,160.48
4,52,Buffalo,Baltimore,29.8,28.5,7.6,7.2,359.3,412.5,1.3,0.5,425,234.5,178.28,149.6
4,53,Chicago,NY Giants,19,16,5.9,7,332,274.8,0.3,0,332.3,351.8,148.52,142.52
4,54,Tennessee,Indianapolis,14.3,18.8,7.3,7.5,339.8,287.5,-1.5,0,297,392.3,144.52,154.72
4,55,Washington,Dallas,17.8,18.3,6.6,6,312.8,330.8,0.5,-1.5,308.5,371.8,141.12,155.88
4,56,Seattle,Detroit,35,23.8,7.4,7.8,436.8,361,-0.3,0,444.8,428,198.06,178.16
4,57,LA Chargers,Houston,18.3,23,6.4,7.5,302,371.8,0.3,0.3,412.3,349.5,159.38,163.92
4,58,Jacksonville,Philadelphia,28.8,26.3,9.1,7.1,435.5,336.5,2,0.8,277.3,330.3,166.92,152.98
4,59,NY Jets,Pittsburgh,18.5,19,6,6.1,278.8,364.5,0.3,-0.5,383,326.5,148.12,154.1
